"Site" "peak_colony" "Prop_imp100" "Prop_flow100" "Prop_domesticinfrastructure100" "Prop_open100" "Prop_tree100" "Prop_ag100" "Prop_gard100" "Prop_road100" "Prop_imp250" "Prop_flow250" "Prop_domesticinfrastructure250" "Prop_open250" "Prop_tree250" "Prop_ag250" "Prop_gard250" "Prop_road250" "Prop_imp500" "Prop_flow500" "Prop_domesticinfrastructure500" "Prop_open500" "Prop_tree500" "Prop_ag500" "Prop_gard500" "Prop_road500" "Prop_imp750" "Prop_flow750" "Prop_domesticinfrastructure750" "Prop_open750" "Prop_tree750" "Prop_ag750" "Prop_gard750" "Prop_road750"
"PA" 3 0.490733011 0.190933378 0.691517783 0.442227417 0.308482217 0 0.190933378 0.002421105 0.521729256 0.136854902 0.717953856 0.551494262 0.251960509 0 0.092608179 0.301951826 0.399849709 0.224757865 0.765222764 0.611498898 0.209441587 0 0.081136865 0.206980162 0.366852654 0.273434357 0.787344831 0.624037963 0.189039351 0 0.081637106 0.168641578
"PR" 403 0 0.016908413 0 0.54620804 0.45379196 0.475341898 0 0.000580191 0 0.009136356 0 0.816145757 0.183854243 0.792873908 0 0 0.001935999 0.013479064 0.005241121 0.881781385 0.11772467 0.853371258 0.001438739 0.001442054 0.045755447 0.039990158 0.062867145 0.797298432 0.186759725 0.682086938 0.008824002 0.029602913
"PU" 2 0.62450133 0.206698803 0.825548537 0.548287899 0.174451463 0 0.201047207 0.002077793 0.503124751 0.259660133 0.76180092 0.534558413 0.23819908 0 0.258676169 0.275882243 0.493610755 0.266599738 0.762351322 0.535336981 0.2362957 0 0.266353742 0.265243436 0.471937072 0.263158284 0.746951994 0.528396835 0.248280233 0 0.263048951 0.244085716
"RI" 2 0.706478072 0.193337797 0.933126883 0.515902243 0.066873117 0 0.193337797 0.001590224 0.60608698 0.251004231 0.862420331 0.449627765 0.137579669 0 0.251004231 0.183720743 0.664197341 0.200397011 0.874389085 0.527265241 0.125610915 0 0.171344215 0.225633678 0.605580054 0.212814516 0.860126699 0.52669666 0.1315239 0 0.164854555 0.189316575
"RO" 1 0.652090301 0.136204013 0.788294314 0.425501672 0.210785953 0 0.136204013 0.001421405 0.653725233 0.078598472 0.734705072 0.412578431 0.183472246 0 0.075079936 0.170281082 0.750255861 0.057078832 0.828703301 0.477347068 0.128104619 0 0.055891501 0.306147363 0.735539819 0.072590763 0.815652016 0.451726065 0.161675169 0 0.064260699 0.311012807
"SO" 37 0.112074716 0.346814543 0.35948966 0.590226818 0.35248499 0.083472315 0.332138092 0.001917945 0.146765044 0.270868762 0.280605544 0.7198756 0.222595913 0.321908697 0.263796282 0.086246662 0.099150171 0.185559853 0.212349596 0.672024384 0.287636518 0.347332829 0.237827104 0.053149019 0.081571777 0.173043178 0.1749522 0.662506471 0.312627287 0.366843824 0.196737604 0.05284744
"SU" 1411 0 0.595947756 0 0.720110516 0.279889484 0.720110516 0 0.000251172 0.008171248 0.438059262 0.014333173 0.907892622 0.092107378 0.892702138 0 0.008171248 0.023572711 0.397521165 0.023602851 0.942503215 0.051401838 0.912735091 0.008037293 0.017477763 0.054832281 0.357399604 0.078680751 0.865489747 0.123903987 0.779902868 0.016672943 0.044226015
"SW" 3 0.339101498 0.279450915 0.619800333 0.394009983 0.380199667 0 0.279450915 0.001747088 0.459892977 0.249361056 0.716495394 0.505710559 0.283504606 0 0.227636974 0.247497471 0.433249898 0.338463689 0.772758742 0.571017262 0.216054108 0 0.256988224 0.219475825 0.418224607 0.342773422 0.796783684 0.597762306 0.194200751 0 0.26808697 0.20947618
"TH" 2 0.737768097 0.252010724 0.98977882 0.683394772 0.002178284 0 0.252010724 0.001759383 0.621753116 0.277013805 0.950784077 0.6287629 0.041616405 0 0.274065139 0.292132422 0.686411885 0.207795558 0.923297549 0.554340396 0.070202244 0 0.195636149 0.306451289 0.639370243 0.189913446 0.895402179 0.577198926 0.094057603 0 0.181511715 0.286025966
"TO" 3 0.426463232 0.374187094 0.807236952 0.519843255 0.192763048 0 0.374187094 0.002001001 0.406205397 0.271452773 0.771286033 0.568490136 0.228713967 0 0.271452773 0.2034095 0.454292003 0.244437404 0.826532382 0.603681718 0.173467618 0 0.241546055 0.231441339 0.446005813 0.256109075 0.788548273 0.581486691 0.202967868 0.007195865 0.244269616 0.226922467
"WL" 10 0.120013243 0.231832478 0.351845721 0.27967224 0.648154279 0 0.231832478 0.000496607 0.162347208 0.235925892 0.48126763 0.500536346 0.393174504 0.125557866 0.235925892 0.045966813 0.187889345 0.140360401 0.399021281 0.515117545 0.361190974 0.233162554 0.123574893 0.061674747 0.17333194 0.119920482 0.374592403 0.580925026 0.325392294 0.285456568 0.078040942 0.076913795
"WY" 282 0.023354388 0.021609043 0.023354388 0.74659242 0.25340758 0.723238032 0 0.000914229 0.021703859 0.02468282 0.073769184 0.79526292 0.200601112 0.664574301 0.014908104 0.011211001 0.014951028 0.133428862 0.049670525 0.815976355 0.182397883 0.464698685 0.016437154 0.009797794 0.023293545 0.142561403 0.038724559 0.820875828 0.178401605 0.431987103 0.007305461 0.00685478
"WI" 4 0.433145322 0.451974121 0.885119443 0.610816191 0.114880557 0 0.451974121 0.002239549 0.410981808 0.367537586 0.804978703 0.589588779 0.172423402 0.022597895 0.367537586 0.168641605 0.364238301 0.305041284 0.672839035 0.515194841 0.294240192 0.010200663 0.292963035 0.172585263 0.302806114 0.251907429 0.53160914 0.543916942 0.303662706 0.095000656 0.209697038 0.149902177
