"Alnusacuminata"	"Anonaceaesp."	"Arbutusxalapensis"	"Buddleiacordata"	"Buddleianitida"	"Calyptranthespallens"	"Clethramacrophylla"	"Clethraoleoides"	"Clethrasuaveolens"	"Cleyeratheaeoides"	"Clusiarosea"	"Cornusdisciflora"	"Cornusexcelsa"	"Cupaniadentata"	"Cupressuslusitanica"	"Cyatheafulva"	"Daphnopsisselerolum"	"Dendropanaxarboreus"	"Deppeagrandiflora"	"Drimysgranadensis"	"Erythrinachiapasana"	"Eugeniacapuli"	"Eugeniacapulioides"	"Eupatoriumligustrinum"	"Eupatoriumnubigenum"	"Garryalaurifolia"	"Holodiscusargenteus"	"Ingasp."	"Juniperusgamboana"	"Lippiasubstrigosa"	"Liquidambarstyraciflua"	"Litseaglaucescens"	"Magnoliasharpii"	"Meliosmadives"	"Miconiaglaberrima"	"Microtropiscontracta"	"Myricacerifera"	"Myrtaceaesp1."	"Nyssasilvatica"	"Ocoteaeffusa"	"Ocoteahelicterifolia"	"Olmediellabetschleriana"	"Oreopanaxxalapensis"	"Ostryavirginiana"	"Parathesisbelizensis"	"Perseaamericana"	"Pinusayacahuite"	"Pinusmontezumae"	"Pinusoocarpa"	"Pinuspseudostrobus"	"Pinustecunumani"	"Prunuslundelliana"	"Prunusrhamnoides"	"Prunusserotina"	"Quercusacatenangensis"	"Quercuscandicans"	"Quercuscrassifolia"	"Quercuscrispipilis"	"Quercuslaurina"	"Quercuspeduncularis"	"Quercuspolymorpha"	"Quercusrugosa"	"Quercussapotaefolia"	"Quercussegoviensis"	"Quercusskutchii"	"Rapaneajuergensenii"	"Rapaneamyricoides"	"Rhamnussharpii"	"Rondeletiastenosiphon"	"Saurauialatipetala"	"Saurauiascabrida"	"Sebastianiacruenta"	"Solanumnudum"	"Styraxargenteus"	"Symplococarponpurpusii"	"Symplocoslimoncillo"	"Tecomastans"	"Ternstroemialineata"	"Ternstroemiaoocarpa"	"Verbesinaperymenioides"	"Vernonialeiocarpa"	"Vernoniascorpioides"	"Viburnumaff.lautum"	"Viburnumjucundum"	"Weinmanniapinnata"	"Zanthoxylummelanostictum"
"Bazom22"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bazom23"	0	0	0	0	0	0	5	0	0	14	0	14	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	4	0	0	0	1	0	16	0	0	0	0	0	0	14	0	3	0	8	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2
"Bazom24"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bazom25"	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	14	0	0	3	0	0	3	0	12	0	0	1	0	0	0	39	0	1	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0
"Bazom26"	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	6	0	0	45	0	1	2	0	0	0	0	7	0	0	1	0	0	0	15	0	3	0	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
"Mitzit1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	0	0	59	0	0	0	0	0	9	0	24	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mitzit2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	13	0	10	26	0	0	0	0	0	3	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mitzit3"	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	94	0	0	1	0	0	5	0	1	0	0	10	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"Mitzit4"	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	24	57	0	0	0	0	0	15	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
"Mitzit5"	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	63	0	0	0	0	0	6	0	9	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
